Row,Model,GLbins,Wavelength,Residual
original_glcm_JointEnergy,0.00908059041999901,0.978779132595414,0.00042790456422049,0.0117123724203663
original_glcm_JointEntropy,0.00536444962748235,0.993922358402263,5.9937782069626e-05,0.000653254188184627
original_glcm_MCC,0.0148948584174508,0.954619900675043,0.0101141247321167,0.0203711161753898
original_glcm_MaximumProbability,0.0110376556380147,0.978456240396269,0.000354748524813314,0.0101513554409025
original_glcm_SumAverage,0.000723831388317346,0.994300009426414,0.00172202550754122,0.00325413367772709
original_glcm_SumEntropy,0.00823305377964526,0.990953844014957,0.000177579730460891,0.000635522474937034
original_glcm_SumSquares,0.00909896756348954,0.960047822364429,0.000674571763288314,0.0301786383087936
original_gldm_DependenceEntropy,0.016203719824076,0.980446676291079,0.00045925182767509,0.00289035205717003
original_gldm_DependenceNonUniformity,0.0929520405192886,0.871158576641424,0.000223848574448655,0.0356655342648384
original_gldm_DependenceNonUniformityNormalized,0.00201713290492811,0.97514251666933,0.000288731846058842,0.0225516185796832
original_gldm_DependenceVariance,0.00770681240817443,0.977582490414197,0.000147873858711,0.0145628233189172
original_gldm_GrayLevelNonUniformity,0.0725070638763818,0.876160168543756,0.000166663271502361,0.0511661043083597
original_gldm_GrayLevelVariance,0.0113951582087944,0.952103470189779,0.000548059916739179,0.0359533116846872
original_gldm_HighGrayLevelEmphasis,0.00312565562281024,0.976451093967849,0.00257100337966463,0.0178522470296766
original_gldm_LargeDependenceEmphasis,0.00420671337063473,0.993853133031374,9.73453163715971e-05,0.00184280828161965
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.00136673541048057,0.952719462198044,0.0229903053849691,0.0229234970065062
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.69559936320895e-07,0.99369258441027,0.00138164513207738,0.00492560089771654
original_gldm_LowGrayLevelEmphasis,0.00056414884763062,0.993131947791137,0.00150802104163069,0.00479588231960149
original_gldm_SmallDependenceEmphasis,0.0028468248843409,0.992576822206986,0.000303559691611619,0.00427279321706175
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.00328496278945284,0.976349590308881,0.000842334924607671,0.0195231119770588
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0161285753149294,0.962390151064699,0.0103927828297037,0.0110884907906683
original_glrlm_GrayLevelNonUniformity,0.163294136065549,0.811765193332127,0.000435242032354421,0.0245054285699703
original_glrlm_GrayLevelNonUniformityNormalized,0.00898838309063475,0.986625478971641,9.31506923197141e-05,0.00429298724540428
original_glrlm_GrayLevelVariance,0.00959746424316114,0.957714774357543,0.000533840715778374,0.0321539206835177
original_glrlm_HighGrayLevelRunEmphasis,0.00269658414237057,0.977938344289472,0.00253887761688133,0.0168261939512757
original_glrlm_LongRunEmphasis,0.00135593930170829,0.994975297198484,0.000329675237705601,0.00333908826210227
original_glrlm_LongRunHighGrayLevelEmphasis,0.00152569642130419,0.976607835696221,0.00658564090025532,0.0152808269822193
